date,tr_norm,tr_modfy,tr_right,bb_norm,bb_modfy,bb_right
3/12/2009,0.701133331,0.708862623,0.719417501,-0.07003718,-0.252443193,-0.314230786
4/12/2009,0.647071755,0.680481207,0.707068482,0.088277489,-0.07294439,-0.153581289
7/12/2009,0.193822993,0.277956056,0.355364415,0.098754999,-0.031619284,-0.108330663
8/12/2009,0.261856033,0.311604725,0.377679792,0.069736503,-0.013941557,-0.082152912
9/12/2009,0.212723686,0.234316574,0.305584645,-0.159335946,-0.189303688,-0.229130721
10/12/2009,0.3313253,0.331004174,0.366725027,-0.300537975,-0.309587129,-0.313143452
11/12/2009,0.084307565,0.07297137,0.039221024,0.075671425,0.06789896,0.141223457
14/12/2009,0.170440248,0.155134615,0.122767907,-0.172240992,-0.17031059,-0.093585221
15/12/2009,-0.146228504,-0.121773521,-0.149421312,-0.716694167,-0.684945263,-0.65042644
16/12/2009,0.051903049,0.075166856,0.053921418,-0.698290968,-0.633676436,-0.572479698
17/12/2009,0.232215286,0.306654458,0.32514531,-0.657998988,-0.49339492,-0.335478088
18/12/2009,0.474660654,0.465122609,0.38742759,-0.443725469,-0.044478329,0.231666346
21/12/2009,-0.105702841,-0.065397277,-0.043498512,0.202205389,0.526731168,0.689180608
22/12/2009,-0.150305782,-0.132421253,-0.126900437,0.33871435,0.471500388,0.484603221
23/12/2009,0.280065489,0.305332977,0.335531234,0.434457702,0.506268441,0.492474972
24/12/2009,0.109252497,0.093977353,0.077586987,0.588413049,0.639632063,0.634907691
25/12/2009,0.105877642,0.086880141,0.080896838,0.680765818,0.720444789,0.735347897
28/12/2009,-0.093389924,-0.1298758,-0.145730227,0.707825136,0.746401272,0.769274592
29/12/2009,0.030420502,-0.017930466,-0.063028266,0.714262933,0.758883089,0.788268204
30/12/2009,-0.033954378,-0.087895974,-0.133265597,0.692455835,0.750870703,0.793693781
31/12/2009,0.243512644,0.187099905,0.136090548,0.401571309,0.452646688,0.491539649
4/1/2010,0.05254717,0.006404446,-0.030812814,0.260192713,0.273666803,0.287627342
