,name,date,open,high,low,close,beta,R2,ret,beta_norm,beta_modfy,beta_right
3955,沪深300,2021/4/14,4945.69,4987.12,4940.27,4980.63,0.820880192,0.943737984,0.008298176,-0.844154862,-0.796661008,-0.653963241
3956,沪深300,2021/4/15,4969.91,4969.91,4900.3,4948.97,0.86674319,0.922978041,-0.006356626,-0.406677402,-0.375354312,-0.325335794
3957,沪深300,2021/4/16,4966.9,4979.17,4917.96,4966.18,0.894089374,0.942191585,0.003477491,-0.146415818,-0.137951751,-0.123341195
3958,沪深300,2021/4/19,4966.41,5088.21,4940.75,5087.02,0.911142283,0.942531267,0.024332586,0.01524481,0.01436871,0.013091939
3959,沪深300,2021/4/20,5065.78,5119.86,5058.92,5083.37,0.88124355,0.89441749,-0.000717512,-0.27158936,-0.242914274,-0.214066637
3960,沪深300,2021/4/21,5055.24,5110.56,5047.99,5098.74,0.891805167,0.899200529,0.003023585,-0.171995138,-0.154658119,-0.13792491
3961,沪深300,2021/4/22,5114.28,5119.22,5067.14,5089.24,0.859348163,0.884315269,-0.001863205,-0.483249984,-0.42734534,-0.367238433
3962,沪深300,2021/4/23,5088.83,5149.98,5086.49,5135.45,0.861179796,0.885977175,0.009079941,-0.464949643,-0.411934771,-0.354749902
3963,沪深300,2021/4/26,5156.59,5181.11,5072.96,5077.24,0.862935934,0.892317516,-0.011334937,-0.447623984,-0.399422722,-0.344676219
3964,沪深300,2021/4/27,5076.64,5095.98,5042.61,5090.52,0.88836307,0.880488769,0.002615594,-0.204274255,-0.179861188,-0.159782037
3965,沪深300,2021/4/28,5073.97,5119.45,5059.26,5119.24,0.884173479,0.877126307,0.00564186,-0.244162177,-0.214161069,-0.189355537
3966,沪深300,2021/4/29,5128.28,5170.59,5113.65,5164.17,0.88471581,0.877811675,0.008776693,-0.238611044,-0.20945556,-0.185308646
3967,沪深300,2021/4/30,5156.36,5163.25,5094.93,5123.49,0.888125963,0.878478383,-0.007877355,-0.205580859,-0.180598341,-0.160394075
3968,沪深300,2021/5/6,5098.8,5132.9,5037.41,5061.12,0.897838234,0.874383662,-0.012173343,-0.112445902,-0.09832086,-0.088276227
3969,沪深300,2021/5/7,5073.46,5093.75,4996.04,4996.05,0.898930439,0.866661682,-0.012856838,-0.101980248,-0.088382374,-0.079449606
3970,沪深300,2021/5/10,5001.44,5019.39,4953.7,4992.42,0.895746637,0.858771298,-0.000726574,-0.132101648,-0.113445104,-0.101618071
3971,沪深300,2021/5/11,4956.08,5033.49,4925.92,5023.06,0.906220016,0.863766808,0.006137304,-0.031607036,-0.027301109,-0.024740811
3972,沪深300,2021/5/12,5003.82,5051.17,4995.4,5044.55,0.909255226,0.869371014,0.004278269,-0.001922618,-0.001671468,-0.001519791
3973,沪深300,2021/5/13,4992.35,5022.08,4975.45,4992.97,0.900118381,0.853537125,-0.010224896,-0.088628214,-0.075647471,-0.068091679
3974,沪深300,2021/5/14,5007.63,5112.98,4981.29,5110.59,0.882262642,0.84459915,0.023557121,-0.25843006,-0.218269809,-0.192571298
3975,沪深300,2021/5/17,5115.31,5206.69,5115.31,5184.99,0.814621831,0.765880266,0.014558006,-0.904318088,-0.692599378,-0.564206574
3976,沪深300,2021/5/18,5190.93,5201.67,5156.79,5187.6,0.791640354,0.752296377,0.000503376,-1.121961007,-0.8440472,-0.668181825
3977,沪深300,2021/5/19,5173.17,5193.56,5151.64,5172.27,0.856009636,0.833168146,-0.002955124,-0.503100261,-0.419167112,-0.358811087
3978,沪深300,2021/5/20,5167.05,5201.59,5152.04,5186.41,0.83555146,0.846248992,0.002733809,-0.697296156,-0.590086169,-0.49304736
3979,沪深300,2021/5/21,5199.13,5216.16,5123.12,5134.15,0.828101833,0.860670707,-0.010076334,-0.766764682,-0.659931901,-0.546490817
3980,沪深300,2021/5/24,5138.81,5155.59,5092.39,5155.59,0.85422051,0.866758544,0.004175959,-0.513912217,-0.445437805,-0.380502109
3981,沪深300,2021/5/25,5165.04,5324.36,5161.52,5318.48,0.854029612,0.867266385,0.031594832,-0.513808266,-0.445608638,-0.380562972
3982,沪深300,2021/5/26,5326.12,5344.28,5308.74,5320.59,0.952786489,0.832417543,0.00039673,0.441166475,0.367234713,0.349896273
3983,沪深300,2021/5/27,5311.37,5378.48,5286.05,5338.23,0.903194961,0.875042766,0.003315422,-0.03585825,-0.031377502,-0.028340002
3984,沪深300,2021/5/28,5338.73,5360.28,5288.65,5321.09,0.936884703,0.901503739,-0.003210802,0.29155536,0.262838247,0.246249133
3985,沪深300,2021/5/31,5318.08,5331.63,5281.69,5331.57,0.943158966,0.918400775,0.001969521,0.352929124,0.324130381,0.305706475
3986,沪深300,2021/6/1,5320.47,5343.75,5269.26,5341.68,0.930680278,0.924795823,0.001896252,0.231816681,0.214383098,0.199522121
3987,沪深300,2021/6/2,5348.34,5352.64,5266.79,5289.97,0.938678125,0.930556134,-0.009680475,0.30738494,0.286038941,0.268498497
3988,沪深300,2021/6/3,5285.71,5314.37,5255.07,5255.29,0.953755207,0.932401327,-0.006555803,0.452096912,0.42153576,0.402041926
3989,沪深300,2021/6/4,5228.28,5334.49,5221.23,5282.28,0.934883658,0.924659941,0.005135777,0.267424034,0.247276292,0.231174564
3990,沪深300,2021/6/7,5284.89,5286.84,5242.95,5277.63,0.965885022,0.906932218,-0.000880302,0.567394695,0.514588529,0.497033353
3991,沪深300,2021/6/8,5276.97,5319.04,5201.14,5232.12,0.928054842,0.885531568,-0.008623189,0.199215157,0.17641131,0.163719371
3992,沪深300,2021/6/9,5224.95,5253.36,5215.35,5236.45,0.854187779,0.836050026,0.00082758,-0.517782339,-0.432891938,-0.369771003
3993,沪深300,2021/6/10,5236.47,5299.53,5229.52,5271.47,0.912956535,0.776773951,0.006687737,0.053213087,0.04133454,0.037736638
3994,沪深300,2021/6/11,5275.75,5276.1,5213.6,5224.7,0.926030721,0.760227924,-0.008872288,0.180273362,0.137048844,0.126911439
3995,沪深300,2021/6/15,5218.56,5225.5,5137.41,5166.56,0.896181505,0.74800335,-0.011127912,-0.109192053,-0.081676022,-0.07319654
3996,沪深300,2021/6/16,5163.25,5164.52,5076.02,5080.49,0.850619279,0.753431044,-0.016659054,-0.550721274,-0.414930505,-0.352947886
3997,沪深300,2021/6/17,5074.38,5123.37,5073.82,5101.89,0.83812852,0.798934349,0.004212192,-0.670599616,-0.535765068,-0.449039983
3998,沪深300,2021/6/18,5104.93,5128.03,5064.92,5102.47,0.91309852,0.825236402,0.000113683,0.057891582,0.047774241,0.043622588
3999,沪深300,2021/6/21,5088.09,5123.78,5058.57,5090.39,0.922830771,0.837637666,-0.002367481,0.15262153,0.127841542,0.117976109
4000,沪深300,2021/6/22,5106.07,5125.82,5086.28,5122.16,0.979159657,0.925181286,0.006241172,0.699459808,0.647127125,0.633640773
4001,沪深300,2021/6/23,5127.19,5171.03,5109.76,5147.39,1.038933275,0.935902825,0.004925656,1.27867122,1.196712007,1.243303924
4002,沪深300,2021/6/24,5156.56,5160.43,5120.58,5155.97,1.02717513,0.935028516,0.001666864,1.161976824,1.086481466,1.116006741
4003,沪深300,2021/6/25,5159.8,5251.61,5157.48,5239.97,1.040559255,0.926863659,0.016291794,1.288877869,1.194614058,1.243066714
4004,沪深300,2021/6/28,5253.61,5260.64,5226.22,5251.76,1.06331482,0.920878891,0.002250013,1.505614704,1.386488798,1.474274087
4005,沪深300,2021/6/29,5248.52,5248.52,5182.68,5190.54,1.038807309,0.900029917,-0.011657044,1.264704428,1.138271822,1.182445088
4006,沪深300,2021/6/30,5189.38,5231.43,5186.63,5224.04,1.01904211,0.886887436,0.006454049,1.070404393,0.949328207,0.967405419
4007,沪深300,2021/7/1,5241.2,5252.26,5190.88,5229.66,1.021814392,0.871601737,0.001075796,1.094699174,0.954141702,0.974955724
4008,沪深300,2021/7/2,5186.66,5186.66,5074.36,5081.12,0.974235187,0.883051358,-0.028403376,0.632252629,0.558311542,0.54392675
4009,沪深300,2021/7/5,5073.78,5098.23,5048,5085.79,0.948038517,0.850753453,0.000919089,0.377644532,0.32128239,0.304588081
4010,沪深300,2021/7/6,5089.78,5092.21,5028.51,5083.1,0.924716824,0.889262796,-0.000528925,0.150253288,0.133614659,0.123555723
4011,沪深300,2021/7/7,5052.42,5152.77,5045.41,5140.49,0.95662627,0.904664576,0.011290354,0.457540945,0.413921085,0.395967784
4012,沪深300,2021/7/8,5149.31,5151.22,5078.93,5088.26,0.898326134,0.868056992,-0.01016051,-0.10973412,-0.09525547,-0.085570478
4013,沪深300,2021/7/9,5063.15,5081.41,5006.41,5069.44,0.885956462,0.847511519,-0.00369871,-0.232188381,-0.196782327,-0.174340575
4014,沪深300,2021/7/12,5108.38,5159.41,5070.32,5132.71,0.877276028,0.871236622,0.012480668,-0.31856842,-0.277548474,-0.243486623
4015,沪深300,2021/7/13,5128.61,5154.05,5114.94,5142.1,0.87568957,0.871416257,0.001829443,-0.334481971,-0.291473027,-0.25523989
4016,沪深300,2021/7/14,5130.75,5130.75,5075.13,5083.08,0.862575698,0.863574233,-0.011477801,-0.462235608,-0.39917476,-0.344318448
4017,沪深300,2021/7/15,5073.26,5153.81,5067.68,5151.46,0.864000676,0.860865104,0.013452474,-0.448261277,-0.385892491,-0.333411373
4018,沪深300,2021/7/16,5140.9,5140.9,5090.63,5094.77,0.850957883,0.852908789,-0.011004647,-0.575834699,-0.491134475,-0.417934754
4019,沪深300,2021/7/19,5083.73,5120.82,5047.62,5113.49,0.8466677,0.859880449,0.003674356,-0.61768833,-0.531138118,-0.449697489
4020,沪深300,2021/7/20,5080.22,5114,5067.86,5108.99,0.849061411,0.866020867,-0.000880025,-0.594344289,-0.514714556,-0.437024268
4021,沪深300,2021/7/21,5122.78,5160.54,5122.3,5144.04,0.868595347,0.871218061,0.006860456,-0.403875455,-0.351863591,-0.305627078
4022,沪深300,2021/7/22,5150.39,5171.21,5137.88,5151.75,0.826104008,0.86706326,0.001498822,-0.817300493,-0.70865123,-0.585419621
4023,沪深300,2021/7/23,5145.43,5145.43,5080,5089.23,0.824139527,0.82180353,-0.012135682,-0.83513771,-0.686319118,-0.565622713
4024,沪深300,2021/7/26,5067.31,5067.31,4859.6,4925.3,0.783554575,0.783580619,-0.03221116,-1.228636445,-0.962735706,-0.754355967
4025,沪深300,2021/7/27,4924.28,4940.86,4749.03,4751.31,0.523376736,0.669729939,-0.035325767,-3.753966331,-2.514143641,-1.315844293
4026,沪深300,2021/7/28,4714.29,4785.66,4663.9,4760.48,0.542427634,0.834656348,0.001929994,-3.533087423,-2.948913845,-1.599572359
4027,沪深300,2021/7/29,4845.76,4857.97,4800.01,4850.27,0.699466576,0.899902952,0.018861543,-2.000542485,-1.800294088,-1.259245542
4028,沪深300,2021/7/30,4825.7,4825.7,4761.04,4811.17,0.758577187,0.897491706,-0.008061407,-1.429610887,-1.283063914,-0.973303015
4029,沪深300,2021/8/2,4794.82,4938.82,4761.46,4933.74,0.805615388,0.904912929,0.025476132,-0.978174109,-0.885162398,-0.713100449
4030,沪深300,2021/8/3,4909.23,4957.03,4890.85,4934.46,0.774406247,0.904948316,0.000145934,-1.274468171,-1.153327826,-0.893144273
4031,沪深300,2021/8/4,4927.74,4979.29,4919.66,4978.85,0.778518705,0.90071765,0.008995918,-1.235540001,-1.112872686,-0.866392203
4032,沪深300,2021/8/5,4946.17,4997.14,4921.94,4948.67,0.782080162,0.897713287,-0.006061641,-1.201409636,-1.078521394,-0.843490187
4033,沪深300,2021/8/6,4943.04,4944.35,4891.8,4921.56,0.775151302,0.895425985,-0.00547824,-1.266218155,-1.133804638,-0.878870141
4034,沪深300,2021/8/9,4890.26,5002.89,4884.04,4985.56,0.784360044,0.885395509,0.013004007,-1.177662603,-1.042697179,-0.817850006
4035,沪深300,2021/8/10,4977.82,5043.76,4941.24,5043.15,0.781540791,0.878255162,0.01155136,-1.203889341,-1.057322028,-0.826340294
4036,沪深300,2021/8/11,5037.08,5059.79,5009.98,5015.34,0.770606684,0.871013201,-0.005514411,-1.307000319,-1.138414532,-0.877269847
4037,沪深300,2021/8/12,4998.07,5016.26,4962.98,4973.35,0.76523186,0.860877885,-0.008372314,-1.356231352,-1.167549578,-0.893446135
4038,沪深300,2021/8/13,4958.76,4993.74,4921.28,4945.98,0.754767422,0.850425331,-0.005503333,-1.453274716,-1.235901631,-0.932818288
4039,沪深300,2021/8/16,4935.92,4973.38,4931.37,4941.07,0.75608486,0.83914192,-0.000992725,-1.43785226,-1.206562107,-0.912263341
4040,沪深300,2021/8/17,4935,4967.56,4823.39,4837.4,0.747687434,0.801342058,-0.020981285,-1.514237483,-1.213422181,-0.907260517
4041,沪深300,2021/8/18,4838.47,4909.54,4818.9,4894.24,0.728827638,0.73409912,0.011750114,-1.688871147,-1.239798823,-0.903599648
4042,沪深300,2021/8/19,4886.56,4893.47,4839.57,4862.14,0.69519702,0.660267619,-0.00655873,-2.001975254,-1.321839434,-0.918938835
4043,沪深300,2021/8/20,4817.49,4835.15,4720.83,4769.27,0.703860058,0.748150684,-0.019100643,-1.914501478,-1.432335591,-1.008163812
4044,沪深300,2021/8/23,4777.73,4843.82,4764.01,4835.88,0.773135263,0.834975563,0.013966498,-1.259369546,-1.051542795,-0.812984815
4045,沪深300,2021/8/24,4844.59,4906.2,4842.75,4888.39,0.784210446,0.799394404,0.010858417,-1.156796665,-0.924736781,-0.725188243
4046,沪深300,2021/8/25,4890.52,4899.77,4865.76,4898.16,0.766114512,0.795345753,0.001998613,-1.328749892,-1.056815584,-0.809641755
4047,沪深300,2021/8/26,4892.2,4892.2,4798.7,4801.61,0.721052733,0.750272524,-0.019711483,-1.75351827,-1.315616578,-0.948628929
4048,沪深300,2021/8/27,4794.97,4863.47,4793.59,4827.04,0.809916212,0.8365298,0.00529614,-0.914864365,-0.765311305,-0.619838033
4049,沪深300,2021/8/30,4847.03,4849.16,4787.2,4813.27,0.828325254,0.846645032,-0.00285268,-0.742148521,-0.628336358,-0.520466873
4050,沪深300,2021/8/31,4803.09,4821.76,4740.75,4805.61,0.854136918,0.852051731,-0.001591434,-0.499657974,-0.425734441,-0.363635504
4051,沪深300,2021/9/1,4804.69,4906.4,4763.3,4869.46,0.862438991,0.864556504,0.013286555,-0.422572402,-0.365337719,-0.315081493
4052,沪深300,2021/9/2,4865.82,4892.7,4845.62,4869.41,0.831266907,0.841399008,-1.03E-05,-0.717059711,-0.603333329,-0.501531031
4053,沪深300,2021/9/3,4875.07,4886.55,4828.7,4843.06,0.81441614,0.84435853,-0.005411333,-0.876240149,-0.739860844,-0.602554613
4054,沪深300,2021/9/6,4841.06,4944.45,4837.79,4933.73,0.772132058,0.835947126,0.018721635,-1.274024327,-1.065016975,-0.822333749
4055,沪深300,2021/9/7,4932.98,5005.96,4915.61,4992.83,0.740360124,0.753365377,0.011978767,-1.570915524,-1.183473366,-0.876196487
4056,沪深300,2021/9/8,4986.8,5013.98,4955.89,4972.13,0.769789917,0.721483401,-0.004145945,-1.291071193,-0.931486435,-0.717048866
4057,沪深300,2021/9/9,4952.49,4970.15,4929.95,4970.01,0.764933303,0.745039902,-0.000426377,-1.334213574,-0.99404235,-0.760376098
